title,year,department,award,film,img_link,film_link
Awards,2021,Feature films,Cristal for a Feature Film,Flee,https://www.annecy.org/resources/images/m/20211791_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211791
Awards,2021,Feature films,Jury Award,Ma famille afghane,https://www.annecy.org/resources/images/m/20212836_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20212836
Awards,2021,Feature films,Jury Distinction,La Traversée,https://www.annecy.org/resources/images/m/20212907_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20212907
Awards,2021,Feature films,Gan Foundation Award for Distribution,Flee,https://www.annecy.org/resources/images/m/20211791_2.png,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211791
Awards,2021,Feature films,Contrechamp Award,Bob Cuspe - Nós Não Gostamos de Gente,https://www.annecy.org/resources/images/m/20212835_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20212835
Awards,2021,Feature films,Contrechamp Jury Distinction,Archipel,https://www.annecy.org/resources/images/m/20210481_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20210481
Awards,2021,Short films,Cristal for a Short Film,Écorce,https://www.annecy.org/resources/images/m/20210282_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20210282
Awards,2021,Short films,Jury Award,Easter Eggs,https://www.annecy.org/resources/images/m/20210978_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20210978
Awards,2021,Short films,"Jury Distinction ""Special Distinction for Direction""",Affairs of the Art,https://www.annecy.org/resources/images/m/20211299_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211299
Awards,2021,Short films,"""Jean-Luc Xiberras"" Award for a First Film",Hold Me Tight,https://www.annecy.org/resources/images/m/20211228_1.png,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211228
Awards,2021,Short films,"""Off-Limits"" Award",Tunable Mimoid,https://www.annecy.org/resources/images/m/20212157_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20212157
