title,year,department,award,film,img_link,film_link,Original title,Directed by,Country,Year of production,Running time,Category,Techniques used,Version,Process,Target public,Production,Distribution,Artistic direction,Script,Graphics,Storyboard,Layout,Animation,Compositing,Music,Sound,Editing,Overview,Voice,Sets,Camera,Other credits,Based on
Awards,2021,Feature films,Cristal for a Feature Film,Flee,https://www.annecy.org/resources/images/m/20211791_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211791,Flee,Jonas POHER RASMUSSEN,"Denmark, France, Norway, Sweden",2020,01 h 23 min,Feature film,"2D computer, live action",Original Danish / Russian / French / English subtitles,Colour,"Adults, Young adults","SUN CREATURE STUDIO, Charlotte DE LA GOURNERIE, FINAL CUT FOR REAL, Monica HELLSTRÖM, VIVEMENT LUNDI !, Jean-François LE CORRE, Mathieu COURTOIS, MER FILMS, Maria EKERHOVD, MOST FILM, Charlotte MOST","HAUT ET COURT DISTRIBUTION, Laure CAILLOL, CINEFIL, Olivier TOURNAUD","Jess Nicholls, Guillaume Dousse",Jonas Poher Rasmussen,"Mikkel Sommer, Simon Rouby, Gilles Cuvelier","Kenneth Ladekjaer, Mads Juul, Ben Marsaud, Xavier Ramonède","Leïla Courtillon, Vincent Chassé, Gaëlle Diot, Cécilia Gin, Julien Leconte","Kenneth Ladekjaer, Erik Schmidt, Stine Marie Buhl, Andrei  Sitari, Cyrille Chauvin, Ilan Wexiø Hatukah, Michael Helmuth Hansen, Nathan Otaño, Pierre Rütz, Laura Büchert Schjødt, Mette Ilene Holmriis, Pernille Kjaer, Thibaud  Petitpas, Théo Boubounelle","Sylvain Lorent, Johanna Bessière, Florent  Bonneviale, Quentin Chevrel, Rodolphe  Dubreuil, Morgane Esnault, Cécilia  Gin, Thibaut  Richard, Jean-Claude Rozec, Adrian  Walt, Gabrielle  Locre, Lasse  Smith, Andreas Severin",Uno Helmersson,"Fredrik Jonsäter, Edward Björner",Janus Billeskov Jansen,"This is the true story of a man, Amin, on the verge of marriage that compels him to reveal his hidden past for the first time.  A secret he has been hiding for over twenty years threatens to ruin the life he has built for himself. He recounts his dramatic journey as a child refugee from Afghanistan to Denmark.",,,,,
Awards,2021,Feature films,Jury Award,Ma famille afghane,https://www.annecy.org/resources/images/m/20212836_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20212836,Ma famille afghane,Michaela PAVLÁTOVÁ,"Czech Republic, France, Slovakia",2021,01 h 20 min 47 s,Feature film,2D computer,Original version with French version English subtitles,Colour,"Adults, Young adults","SACREBLEU PRODUCTIONS, Ron DYENS, NEGATIV S.R.O., Petr OUKROPEC, BFILM, LTD., Peter BADAC",DIAPHANA DISTRIBUTION,,"Ivan Arsenjev, Yaël Giovanna Lévy",,,,,,"Evgueni Galperine, Sacha Galperine",,Evženie Brabcová,"When Herra, a young Czech woman, falls in love with Nazir, an Afghan, she has no idea what kind of life awaits her in post-Taliban Afghanistan, nor of the family she is about to integrate into. A liberal grandfather, an adopted child who is highly intelligent and Freshta, who would do anything to escape her husband's violent grip.",,,,,
Awards,2021,Feature films,Jury Distinction,La Traversée,https://www.annecy.org/resources/images/m/20212907_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20212907,La Traversée,Florence MIAILHE,"Germany, France, Czech Republic",2020,01 h 24 min,Feature film,paint on glass,Original French version English subtitles,Colour,"Teens, Adults, Young adults","LES FILMS DE L'ARLEQUIN, Dora BENOUSILIO, BALANCE FILM GMBH, Ralf KUKULA, MAURFILM S.R.O., Martin VANDAS, XBO FILMS, Luc CAMILLI","GEBEKA FILMS, Marc BONNY",,"Marie Desplechin, Florence Miailhe",,Florence Miailhe,,,,Philipp Kümpel,,,"A small village looted in darkness, a family forced to flee. The two oldest children, Kyona and Adriel are quickly separated from their parents facing the road of exile alone. They embark on a heroic journey which takes them from childhood to adolescence in search of shelter, peace and the hope of finding refuge and their family. Crossing a continent torn apart by war and migrant persecution, these courageous siblings survive incredible challenges, before reaching a new world, free at last.",,,,,
Awards,2021,Feature films,Gan Foundation Award for Distribution,Flee,https://www.annecy.org/resources/images/m/20211791_2.png,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211791,Flee,Jonas POHER RASMUSSEN,"Denmark, France, Norway, Sweden",2020,01 h 23 min,Feature film,"2D computer, live action",Original Danish / Russian / French / English subtitles,Colour,"Adults, Young adults","SUN CREATURE STUDIO, Charlotte DE LA GOURNERIE, FINAL CUT FOR REAL, Monica HELLSTRÖM, VIVEMENT LUNDI !, Jean-François LE CORRE, Mathieu COURTOIS, MER FILMS, Maria EKERHOVD, MOST FILM, Charlotte MOST","HAUT ET COURT DISTRIBUTION, Laure CAILLOL, CINEFIL, Olivier TOURNAUD","Jess Nicholls, Guillaume Dousse",Jonas Poher Rasmussen,"Mikkel Sommer, Simon Rouby, Gilles Cuvelier","Kenneth Ladekjaer, Mads Juul, Ben Marsaud, Xavier Ramonède","Leïla Courtillon, Vincent Chassé, Gaëlle Diot, Cécilia Gin, Julien Leconte","Kenneth Ladekjaer, Erik Schmidt, Stine Marie Buhl, Andrei  Sitari, Cyrille Chauvin, Ilan Wexiø Hatukah, Michael Helmuth Hansen, Nathan Otaño, Pierre Rütz, Laura Büchert Schjødt, Mette Ilene Holmriis, Pernille Kjaer, Thibaud  Petitpas, Théo Boubounelle","Sylvain Lorent, Johanna Bessière, Florent  Bonneviale, Quentin Chevrel, Rodolphe  Dubreuil, Morgane Esnault, Cécilia  Gin, Thibaut  Richard, Jean-Claude Rozec, Adrian  Walt, Gabrielle  Locre, Lasse  Smith, Andreas Severin",Uno Helmersson,"Fredrik Jonsäter, Edward Björner",Janus Billeskov Jansen,"This is the true story of a man, Amin, on the verge of marriage that compels him to reveal his hidden past for the first time.  A secret he has been hiding for over twenty years threatens to ruin the life he has built for himself. He recounts his dramatic journey as a child refugee from Afghanistan to Denmark.",,,,,
Awards,2021,Feature films,Contrechamp Award,Bob Cuspe - Nós Não Gostamos de Gente,https://www.annecy.org/resources/images/m/20212835_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20212835,Bob Cuspe - Nós Não Gostamos de Gente,Cesar CABRAL,Brazil,2021,01 h 30 min 29 s,Feature film contrechamp,puppets,Original Portuguese version English subtitles,Colour,"Adults, Young adults","COALA FILMES, Ivan MELO","VITRINE FILMES, Felipe LOPES",,,,,,,,,,,"Bob Spit, a comic book character, lives in a post-apocalyptic desert inside the mind of his creator, the legendary Brazilian cartoonist Angeli. When Angeli decides to kill off Bob, the old punk leaves this wasteland and faces his creator.",,,,,
Awards,2021,Feature films,Contrechamp Jury Distinction,Archipel,https://www.annecy.org/resources/images/m/20210481_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20210481,Archipel,Félix DUFOUR-LAPERRIÈRE,Canada,2021,01 h 12 min,Feature film contrechamp,"drawing on paper, 2D computer, rotoscope, live action",Original French version English subtitles,Colour,,"EMBUSCADE FILMS, Nicolas DUFOUR-LAPERRIERE","LA DISTRIBUTRICE DE FILMS, Serge ABIAAD",,,,,,"Bogdan Anifrani, Julie Charrette, Salma-Lou Chila-Najari, Eva Cvijanovic, Félix Dufour-Laperrière, Jens Hahn, Phillip Lockerby, Véronique Paquette, Hyun Jin Park, Rachel Samson, Rodolphe St-Gelais, Malcolm Sutherland, Rui Ting-Ji",,Feu Doux (Stéphane Lafleur et Christophe Lamarche-Ledoux),"Olivier Calvert, Jean-Paul Vialard (Onf)",Félix Dufour-Laperrière,"A true animated film about invented islands. About an imaginary, linguistic, and political territory. About a real or imaginary country, or something in between. ""Archipelago"" is a feature film drawn free hand and with meticulous language, that tells and dreams of a place and its inhabitants, to tell and dream a little of our world and its times.","Florence Blain Mbaye, Mattis Savard-Verhoeven",,,,
Awards,2021,Short films,Cristal for a Short Film,Écorce,https://www.annecy.org/resources/images/m/20210282_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20210282,Écorce,"Samuel PATTHEY, Silvain MONNEY",Switzerland,2020,15 min 03 s,Short film,drawing on paper,Without dialogue or commentary,Colour,"Adults, Young adults","DOK MOBILE, Mark OLEXA","INTERFILM BERLIN SALES, Cord DUEPPE, SQUARE EYES, Wouter JANSEN",,,,,,,,,,,"In a hidden place, the daily routine of a retirement home unfolds as time seems to stand still. The pencil-drawn residents come to life on paper.",,,,,
Awards,2021,Short films,Jury Award,Easter Eggs,https://www.annecy.org/resources/images/m/20210978_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20210978,Easter Eggs,Nicolas KEPPENS,"Belgium, France, Netherlands",2021,14 min,Short film,2D computer,Original Dutch version English subtitles,Colour,"Adults, Young adults","ANIMAL TANK, Brecht VAN ELSLANDE, KA-CHING CARTOONS, Joost VAN DEN BOSCH, MIYU PRODUCTIONS, Emmanuel-Alain RAYNAL, Pierre BAUSSARON","MIYU DISTRIBUTION, Luce GROSJEAN",Nicolas Keppens,Nicolas Keppens,Nicolas Keppens,Nicolas Keppens,Nicolas Keppens,"Camiel Hermans, Pascal Vermeersch, Digna Van Der Put, Laura Piette, Sacha Brauner, Eno Swinnen, Mirte Tas, Carl Van Isacker, Tiemen Focke, Flore Van Holderbeke",Nicolas Keppens,"Greg Scheirlinckx, Antonio Carlos Jobim",Greg Scheirlinckx,Nicolas Keppens,"The Chinese restaurant is empty. The exotic birds' cage sits wide open. Two friends, Jason and Kevin, see this as an opportunity to catch and sell them for a lot of money.","Victor Polster, Rik Verheye",,,,
Awards,2021,Short films,"Jury Distinction ""Special Distinction for Direction""",Affairs of the Art,https://www.annecy.org/resources/images/m/20211299_1.jpg,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211299,Affairs of the Art,Joanna QUINN,"United Kingdom, Canada",2021,16 min,Short film,drawing on paper,Original English version French subtitles,Colour,"Teens, Adults, Young adults","BERYL PRODUCTIONS INTERNATIONAL LTD., Les MILLS, ONF - OFFICE NATIONAL DU FILM DU CANADA, Michael FUKUSHIMA","ONF - OFFICE NATIONAL DU FILM DU CANADA, Élise LABBÉ",,Les Mills,,,,"Joanna Quinn, James Nutting","Mia Rose Goddard, Fran Breslin",Benjamin Talbott,,Mia Rose Goddard,"Beryl's back in ""Affairs of the Art"", which showcases one family's eccentric yet endearing obsessions with everything from drawing to screw threads and pet taxidermy.","Menna Trussler, Brendan Charleson, Joanna Quinn, Mali Ann Rees",,,,
Awards,2021,Short films,"""Jean-Luc Xiberras"" Award for a First Film",Hold Me Tight,https://www.annecy.org/resources/images/m/20211228_1.png,https://www.annecy.org/about/archives/2021/award-winners/film-index:film-20211228,Hold Me Tight,Mélanie ROBERT-TOURNEUR,"Belgium, France",2021,06 min,Short film,"drawing on paper, 2D computer",Without dialogue or commentary,Colour,Adults,"VIVI FILM, Viviane VANFLETEREN, LA CLAIRIÈRE PRODUCTION, Claire BEFFA","MIYU DISTRIBUTION, Luce GROSJEAN",,,,,,,,Lucas Verreman,,,"At the heart of a dark forest, two silhouettes meet, drawing each other together and pushing each other apart in an explosive nuptial parade. ""Hold Me Tight"" is a bitter sweet romance.",,,,,
