year,Original title,Directed by,Country,Year of production,Running time,Category,Techniques used,Version,Process,Target public,Production,Distribution,Artistic direction,Script,Graphics,Storyboard,Layout,Animation,Compositing,Music,Sound,Editing,Overview,department,Voice,Sets,Based on,Camera,Other credits,Development,Character design,Animation directors,Series creator(s),Script writer,Graphic designer
2021,Flee,Jonas POHER RASMUSSEN,"Denmark, France, Norway, Sweden",2020,01 h 23 min,Feature film,"2D computer, live action",Original Danish / Russian / French / English subtitles,Colour,"Adults, Young adults","SUN CREATURE STUDIO, Charlotte DE LA GOURNERIE, FINAL CUT FOR REAL, Monica HELLSTRÖM, VIVEMENT LUNDI !, Jean-François LE CORRE, Mathieu COURTOIS, MER FILMS, Maria EKERHOVD, MOST FILM, Charlotte MOST","HAUT ET COURT DISTRIBUTION, Laure CAILLOL, CINEFIL, Olivier TOURNAUD","Jess Nicholls, Guillaume Dousse",Jonas Poher Rasmussen,"Mikkel Sommer, Simon Rouby, Gilles Cuvelier","Kenneth Ladekjaer, Mads Juul, Ben Marsaud, Xavier Ramonède","Leïla Courtillon, Vincent Chassé, Gaëlle Diot, Cécilia Gin, Julien Leconte","Kenneth Ladekjaer, Erik Schmidt, Stine Marie Buhl, Andrei  Sitari, Cyrille Chauvin, Ilan Wexiø Hatukah, Michael Helmuth Hansen, Nathan Otaño, Pierre Rütz, Laura Büchert Schjødt, Mette Ilene Holmriis, Pernille Kjaer, Thibaud  Petitpas, Théo Boubounelle","Sylvain Lorent, Johanna Bessière, Florent  Bonneviale, Quentin Chevrel, Rodolphe  Dubreuil, Morgane Esnault, Cécilia  Gin, Thibaut  Richard, Jean-Claude Rozec, Adrian  Walt, Gabrielle  Locre, Lasse  Smith, Andreas Severin",Uno Helmersson,"Fredrik Jonsäter, Edward Björner",Janus Billeskov Jansen,"This is the true story of a man, Amin, on the verge of marriage that compels him to reveal his hidden past for the first time.  A secret he has been hiding for over twenty years threatens to ruin the life he has built for himself. He recounts his dramatic journey as a child refugee from Afghanistan to Denmark.",Official Feature Films,,,,,,,,,,,
2021,Hayop Ka! The Nimfa Dimaano Story,Avid LIONGOREN,Philippines,2020,01 h 13 min 31 s,Feature film,"cut-outs, 2D computer",Original Philippine version English / French subtitles,Colour,Adults,"TWENTY MANILA, Emmanuel ANGELES, SPRING FILMS, Erika DEL MUNDO",,Jether Amar,"Emmanuel Angeles, Paulle Olivenza",,Rocketsheep Studio,,Rocketsheep Studio,Rocketsheep Studio,Len Calvo,Wapak Studios,,"Nimfa Dimaano, a perfume saleskitty, falls head over paws for Iñigo - a dashing dog about town. Trouble is, Nimfa still shares a shanty with her drab of a lover Roger - a mall janitor mongrel. Could this new dog in her life save Nimfa from her poor cat woes? In this animal world, amorous cats and dogs put their own spin on daytime soap opera.",Official Feature Films,"Angelica Panganiban, Robin Padilla, Sam Milby, Piolo Pascual, Empoy Marquez, Arci Muñoz, Eugene Domingo",,,,,,,,,,
2021,Jiang Ziya: The Legend of Deification,"Wei LI, Teng CHENG",China,2020,01 h 45 min 13 s,Feature film,2D/3D computer,Original Chinese version English / French subtitles,Colour,"Teens, Adults, Young adults","Weihua GAO, ONE AND ALL ANIMATION STUDIO, Yanxin LUO",,Xin Wang,Xiying Xie,"Haojun Bao, Jia You","Wei Li, Teng Cheng, Xia Li, Youyang Kong, Yangzi She","Tianyi Liu, Ciling Xie, Jiayuan Zhang, Zhanyang Zeng","Yadong Wang, Yuan Yao, Longlong Li",Danfeng Li,Yinghua Huang,Danfeng Li,Xinyu Cheng,"After the great Battle of The Gods, when Jiang Ziya is about to be named the Leader of the Gods, he is sent to Earth for a momentary mistake and spurned by the world. Jiang Ziya must make a difficult choice between his heart and his destiny. In the end, he finds his real self and restores the relationship between Human, God and Demon.",Official Feature Films,"Xi Zheng, Guangtao Jiang, Guanlin Ji, Ning Yang","Dongming Lu, Wenkang Li",,,,,,,,,
2021,Josee to Tora to Sakanatachi,Kotaro TAMURA,Japan,2020,01 h 37 min 08 s,Feature film,2D computer,Original Japanese version French subtitles,Colour,"Teens, Adults, Young adults","BONES INC., Shuzo KASAHARA","SHOCHIKU CO., LTD., Shion KOMATSU, EUROZOOM, Romain BROSOLO",Yushi Kaneki,Sayaka Kuwamura,Nao Emoto,,,Haruko IIzuka,,Evan Call,Kazuhiro Wakabayashi,Kumiko Sakamoto,"A young girl Josee, paraplegic from a very early age, lives in her own world between painting, books and her overflowing imagination. Tsuneo, in a marine biology faculty, would like to continue his studies in Mexico to be able to live his ultimate dream: to dive in tropical waters. For that, he needs money. Just then, a job literally falls into his lap when he collides with Josee.",Official Feature Films,,,"""Josee, the Tiger and the Fish"", Seiko Tanabe",Go Kanbayasi,,,,,,,
2021,La Traversée,Florence MIAILHE,"Germany, France, Czech Republic",2020,01 h 24 min,Feature film,paint on glass,Original French version English subtitles,Colour,"Teens, Adults, Young adults","LES FILMS DE L'ARLEQUIN, Dora BENOUSILIO, BALANCE FILM GMBH, Ralf KUKULA, MAURFILM S.R.O., Martin VANDAS, XBO FILMS, Luc CAMILLI","GEBEKA FILMS, Marc BONNY",,"Marie Desplechin, Florence Miailhe",,Florence Miailhe,,,,Philipp Kümpel,,,"A small village looted in darkness, a family forced to flee. The two oldest children, Kyona and Adriel are quickly separated from their parents facing the road of exile alone. They embark on a heroic journey which takes them from childhood to adolescence in search of shelter, peace and the hope of finding refuge and their family. Crossing a continent torn apart by war and migrant persecution, these courageous siblings survive incredible challenges, before reaching a new world, free at last.",Official Feature Films,,,,,,,,,,,
2021,Lamya's Poem,Alex KRONEMER,"Canada, USA",2021,01 h 29 min,Feature film,2D computer,Original English version French subtitles,Colour,All audiences,"Sam KADI, UNITY PRODUCTIONS FOUNDATION, Glenn BROWN",,Kristina Vardazaryan,,,,,Brandon Lloyd,,Christopher Willis,,,"A young Syrian refugee girl finds a magical gateway to meet the great 13th century poet, Rumi, and helps him write the poem that 800 years later saves her life.",Official Feature Films,"Mena Massoud, Millie Davis, Faran Tahir",,,,,,,,,,
2021,Ma famille afghane,Michaela PAVLÁTOVÁ,"Czech Republic, France, Slovakia",2021,01 h 20 min 47 s,Feature film,2D computer,Original version with French version English subtitles,Colour,"Adults, Young adults","SACREBLEU PRODUCTIONS, Ron DYENS, NEGATIV S.R.O., Petr OUKROPEC, BFILM, LTD., Peter BADAC",DIAPHANA DISTRIBUTION,,"Ivan Arsenjev, Yaël Giovanna Lévy",,,,,,"Evgueni Galperine, Sacha Galperine",,Evženie Brabcová,"When Herra, a young Czech woman, falls in love with Nazir, an Afghan, she has no idea what kind of life awaits her in post-Taliban Afghanistan, nor of the family she is about to integrate into. A liberal grandfather, an adopted child who is highly intelligent and Freshta, who would do anything to escape her husband's violent grip.",Official Feature Films,,,,,,,,,,,
2021,Poupelle of Chimney Town,Yusuke HIROTA,Japan,2020,01 h 40 min,Feature film,"2D/3D computer, original techniques",Original Japanese version English / French subtitles,Colour,Family,"YOSHIMOTO KOGYO CORPORATION, LTD., Yusuke KITAHASHI, DENTSU INC., Ryoichi FUKUYAMA, STUDIO4°C CO., LTD., Eiko TANAKA","KIYUKI INC., Geoffrey WEXLER",,Akihiro Nishino,,,,,,,,,"Young Lubicchi and a man made of garbage, Poupelle live among the thick smoke from the chimneys of his isolated town. Lubicchi yearns to see the ""stars"" and to learn the truth his father always told him about.",Official Feature Films,,,"""Poupelle of Chimney Town"", Akihiro Nishino",,,,,,,,
2021,Rotzbub,"Marcus ROSENMÜLLER, Santiago LOPEZ JOVER","Austria, Germany",2021,01 h 25 min,Feature film,3D computer,Original German version English / French subtitles,Colour,"Teens, Adults, Young adults","AICHHOLZER FILMPRODUKTION, Josef AICHHOLZER, FILMBÜRO MÜNCHNER FREIHEIT GMBH, Ernst GEYER","PICTURE TREE INTERNATIONAL GMBH (PTI), Andreas ROTHBAUER, FILMLADEN, Michael STEJSKAL",Manfred Deix,Martin Ambrosch,,"Bernd Ertl, Santiago López Jover, Cara Königswieser, Cesare Asaro, Aitor Herrero, Ernest Agulló Galilea, Patrick Reyntens","Michael Merkatz, Christos Athanasopoulos Lampropoulos, Aaron Dimaano, Cara Königswieser, Pia Leherbauer, Sondre Sorby, Tom Stockinger, Mauro Vassalli, David Wurdak","Santiago López Jover, Michael Merkatz, Tom Stockinger, Mig G. Aliaga, Christos Athanasopoulos Lampropoulos, Dejan Brujic, Aaron Dimaano, Cara Königswieser, Pia Leherbauer, Sondre Sorby, Mauro Vassalli, David Wurdak, Salvador Artero, Martijn Van Den Akker, Catalin Balaceanu",Markus Huber-Hinterberger,Gerd Baumann,"Christof Ebhardt, Benjamin Rosenkind, Alexander  Würtz",Philipp Bittner,"1960's Siegheilkirchen, a small town in the Austrian hinterland is steeped in reactionary and ultra-Catholic attitudes. The son of a hard-working innkeeper and his wife, called Snotty Boy by all and sundry, is at odds with the narrow-minded confines of his home town. But his unstoppable talent for drawing gives him an outlet for his discontent.",Official Feature Films,,,,,,,,,,,
2021,The Ape Star,Linda HAMBÄCK,"Sweden, Norway, Denmark",2020,01 h 13 min 38 s,Feature film,2D computer,Original Swedish version English subtitles,Colour,Kids,"LEE FILM STOCKHOLM AB, Linda HAMBÄCK, Petter LINDBLAD","ATTRACTION DISTRIBUTION INC., Xiaojuan ZHOU, LES FILMS DU PRÉAU, Emmanuelle CHEVALIER","Ola Larsson, Morten Lund",Janne Vierth,,My Eklund,,,,"Minna Weurlander, Tania Naranjo",,,"The eight-year-old orphan Jonna is longing for a mother. One day, an old car stops outside the orphanage and out steps a gorilla who picks Jonna for adoption. It soon becomes clear that they have more things in common than they initially thought.",Official Feature Films,"Pernilla August, Stellan Skarsgård, Rebecca Gerstmann, Melinda Kinnaman",,,,,,,,,,
